"","theta","phys","Ppu","Ps","Pu","Pps","PpAll","PsiU","PsiS"
"383",18.2,"Plain",9.84442376814082e-35,5.67925936194915e-21,1.31258983575211e-34,1.41981484048729e-21,1.41981484048739e-21,6.93359689405802e-14,0.999999999999931
"384",18.3,"Plain",3.60656953357654e-35,2.98976791885041e-21,4.80875937810206e-35,7.47441979712603e-22,7.47441979712639e-22,4.82521671443063e-14,0.999999999999952
"385",18.4,"Plain",1.31271029033846e-35,1.56683662599024e-21,1.75028038711794e-35,3.91709156497559e-22,3.91709156497572e-22,3.35123718341415e-14,0.999999999999966
"386",18.5,"Plain",4.74694325676498e-36,8.17429703830632e-22,6.32925767568664e-36,2.04357425957658e-22,2.04357425957663e-22,2.32286310836016e-14,0.999999999999977
"387",18.6,"Plain",1.70541375575229e-36,4.24538985609039e-22,2.27388500766972e-36,1.0613474640226e-22,1.06134746402261e-22,1.6068383008978e-14,0.999999999999984
"388",18.7,"Plain",6.08717873031744e-37,2.1949528891156e-22,8.11623830708992e-37,5.48738222278899e-23,5.48738222278905e-23,1.10930467082053e-14,0.999999999999989
"389",18.8,"Plain",2.15860369522556e-37,1.129726435588e-22,2.87813826030074e-37,2.82431608897001e-23,2.82431608897003e-23,7.64292532148113e-15,0.999999999999992
"390",18.9,"Plain",7.60501980535039e-38,5.78844407974154e-23,1.01400264071339e-37,1.44711101993538e-23,1.44711101993539e-23,5.25531192879032e-15,0.999999999999995
"391",19,"Plain",2.66194055773443e-38,2.95250645261303e-23,3.54925407697924e-38,7.38126613153258e-24,7.3812661315326e-24,3.60634681137248e-15,0.999999999999996
"392",19.1,"Plain",9.25692889427045e-39,1.49920261621955e-23,1.23425718590273e-38,3.74800654054888e-24,3.74800654054889e-24,2.46982730529462e-15,0.999999999999997
"393",19.2,"Plain",3.19820334317034e-39,7.57827341526903e-24,4.26427112422712e-39,1.89456835381726e-24,1.89456835381726e-24,1.68809076575488e-15,0.999999999999998
"394",19.3,"Plain",1.09778119922014e-39,3.81347296033053e-24,1.46370826562686e-39,9.53368240082632e-25,9.53368240082633e-25,1.1514765785831e-15,0.999999999999999
"395",19.4,"Plain",3.74365720711157e-40,1.91034380901809e-24,4.99154294281543e-40,4.77585952254523e-25,4.77585952254523e-25,7.83870880087452e-16,0.999999999999999
"396",19.5,"Plain",1.26837283538903e-40,9.52670817188815e-25,1.6911637805187e-40,2.38167704297204e-25,2.38167704297204e-25,5.32554503614081e-16,0.999999999999999
"397",19.6,"Plain",4.2694148853739e-41,4.72949369736769e-25,5.69255318049853e-41,1.18237342434192e-25,1.18237342434192e-25,3.61088535777107e-16,1
"398",19.7,"Plain",1.42777692318661e-41,2.33736697162376e-25,1.90370256424882e-41,5.8434174290594e-26,5.8434174290594e-26,2.44339368275533e-16,1
"399",19.8,"Plain",4.743762386998e-42,1.14995174715184e-25,6.32501651599733e-42,2.8748793678796e-26,2.8748793678796e-26,1.65007354395424e-16,1
