"","EMT_ID","ERE88","DATE","Value","theta"
"169","SF-LA",66.6,1999-11-15,66.4673333333333,0.13266666666668
"170","SF-XZ",67.29,1999-11-15,67.302,-0.0119999999999862
"171","SF-N2",63.05,1999-12-15,61.9658064516129,1.08419354838709
"172","SF-LB",63.42,1999-12-15,63.8767741935484,-0.456774193548384
"173","SF-N1",63.71,1999-12-15,63.9109677419355,-0.200967741935493
"174","SF-LA",66.6,1999-12-15,66.4203225806452,0.179677419354846
"175","SF-XZ",67.29,1999-12-15,67.1767741935484,0.113225806451624
"176","SF-N2",63.05,2000-01-15,61.6770967741936,1.37290322580645
"177","SF-LB",63.42,2000-01-15,63.5864516129032,-0.166451612903224
"178","SF-N1",63.71,2000-01-15,63.6583870967742,0.0516129032258021
"179","SF-LA",66.6,2000-01-15,66.2445161290323,0.355483870967745
"180","SF-XZ",67.29,2000-01-15,66.8377419354839,0.45225806451613
"181","SF-N2",63.05,2000-02-15,61.0641379310345,1.98586206896552
"182","SF-LB",63.42,2000-02-15,63.1872413793103,0.232758620689658
"183","SF-N1",63.71,2000-02-15,63.1106896551724,0.599310344827579
"184","SF-LA",66.6,2000-02-15,65.6144827586207,0.985517241379313
"185","SF-XZ",67.29,2000-02-15,66.3931034482759,0.89689655172414
"186","SF-N2",63.05,2000-03-15,60.3093548387097,2.74064516129032
"187","SF-LB",63.42,2000-03-15,62.3632258064516,1.05677419354839
"188","SF-N1",63.71,2000-03-15,62.3432258064516,1.36677419354838
"189","SF-LA",66.6,2000-03-15,64.8158064516129,1.78419354838711
"190","SF-XZ",67.29,2000-03-15,65.6009677419355,1.68903225806453
"191","SF-N2",63.05,2000-04-15,59.431,3.619
"192","SF-LB",63.42,2000-04-15,61.3036666666667,2.11633333333334
"193","SF-N1",63.71,2000-04-15,61.6763333333333,2.03366666666666
"194","SF-LA",66.6,2000-04-15,64.094,2.50600000000001
"195","SF-XZ",67.29,2000-04-15,64.7016666666667,2.58833333333334
"196","SF-N2",63.05,2000-05-15,58.4332258064516,4.61677419354839
"197","SF-LB",63.42,2000-05-15,60.148064516129,3.27193548387097
"198","SF-N1",63.71,2000-05-15,60.8670967741935,2.84290322580645
"199","SF-LA",66.6,2000-05-15,63.2016129032258,3.3983870967742
"200","SF-XZ",67.29,2000-05-15,63.5603225806452,3.72967741935484
"201","SF-N2",63.05,2000-06-15,58.6856666666667,4.36433333333333
"202","SF-LB",63.42,2000-06-15,60.0713333333333,3.34866666666667
"203","SF-N1",63.71,2000-06-15,61.179,2.53099999999999
"204","SF-LA",66.6,2000-06-15,63.2773333333333,3.32266666666668
"205","SF-XZ",67.29,2000-06-15,63.2626666666667,4.02733333333334
