OBJECTID,CFCA_ID,Wetland_Ty,Stressed,Class,SUM_ACRES_COMB,Shape_Length,Shape_Area,Latitude,Longiitude
18,SF-CJ,Plain,NO,Class 2,1.543623529607452,294.732954505994540,6246.822794559673600,28.2249966,-81.3283539
19,SF-CN,Plain,YES,Class 2,21.588850140909813,1806.177084249322200,87366.976845292200000,28.3526554,-81.2828064
20,SF-CP,Plain,NO,Class 2,7.551050924504846,717.440573216002120,30558.018930024122000,28.3135090,-81.3722076
21,SF-CQ1,Plain,YES,Class 2,31.822873582007212,1691.349848838234900,128782.600334567210000,28.2990551,-81.3450165
22,SF-CT,Plain,NO,Class 2,44.236611959551318,2407.816093097742400,179019.217214464880000,28.4057999,-81.3695297
23,SF-CY,Plain,NO,Class 2,16.739950180631691,1749.105891873261300,67744.174899145408000,27.9657421,-81.0723190
24,SF-DI,Plain,YES,Class 2,6.379432388173972,585.554183618712160,25816.646931459585000,28.4378033,-81.4140167
25,SF-DW,Plain,NO,Class 2,4.351293815853309,542.961158533943600,17609.061324652150000,28.2043476,-81.4535370
26,SF-DX,Plain,YES,Class 2,4.959498693281092,593.898639993986540,20070.379138788994000,28.2324181,-81.4654999
27,SF-EP,Ridge,NO,Class 2,2.061937373388897,327.601326032836430,8344.364502090433200,28.4123421,-81.4947891
28,SF-EQ,Ridge,YES,Class 2,3.062122337264425,410.096570118262490,12391.969446695104000,28.4033279,-81.4985657
