delta,ZRPu,ZPPu,ZRPs,ZPPs
5.72,0.772690689,0.964247115,0.000471733,1.31E-06
5.73,0.773756763,0.964674232,0.000469743,1.29E-06
5.74,0.774819886,0.965097148,0.000467759,1.26E-06
5.75,0.775880056,0.965515889,0.000465781,1.24E-06
5.76,0.776937268,0.965930482,0.000463809,1.21E-06
5.77,0.777991518,0.966340953,0.000461843,1.19E-06
5.78,0.779042803,0.96674733,0.000459884,1.16E-06
5.79,0.780091119,0.967149637,0.00045793,1.14E-06
5.8,0.781136463,0.967547902,0.000455983,1.11E-06
5.81,0.782178831,0.967942151,0.000454041,1.09E-06
5.82,0.78321822,0.96833241,0.000452106,1.06E-06
5.83,0.784254626,0.968718706,0.000450177,1.04E-06
5.84,0.785288046,0.969101064,0.000448253,1.02E-06
5.85,0.786318478,0.969479512,0.000446336,9.92E-07
5.86,0.787345917,0.969854076,0.000444425,9.67E-07
5.87,0.788370361,0.970224782,0.00044252,9.43E-07
5.88,0.789391808,0.970591655,0.000440621,9.19E-07
5.89,0.790410253,0.970954723,0.000438728,8.95E-07
5.9,0.791425694,0.971314012,0.000436841,8.71E-07
5.91,0.792438129,0.971669547,0.00043496,8.47E-07
5.92,0.793447555,0.972021354,0.000433085,8.23E-07
5.93,0.794453969,0.972369461,0.000431216,7.99E-07
5.94,0.795457369,0.972713892,0.000429353,7.75E-07
5.95,0.796457752,0.973054675,0.000427496,7.51E-07
5.96,0.797455115,0.973391834,0.000425645,7.28E-07
5.97,0.798449458,0.973725396,0.0004238,7.04E-07
5.98,0.799440776,0.974055386,0.000421961,6.81E-07
5.99,0.800429068,0.974381831,0.000420128,6.57E-07
6,0.801414332,0.974704756,0.000418301,6.34E-07
6.01,0.802396566,0.975024188,0.00041648,6.11E-07
6.02,0.803375768,0.975340151,0.000414665,5.88E-07
6.03,0.804351936,0.975652672,0.000412856,5.65E-07
6.04,0.805325067,0.975961775,0.000411053,5.42E-07
6.05,0.806295162,0.976267488,0.000409256,5.19E-07
6.06,0.807262216,0.976569834,0.000407465,4.96E-07
6.07,0.80822623,0.976868841,0.00040568,4.73E-07
6.08,0.809187201,0.977164532,0.0004039,4.51E-07
6.09,0.810145128,0.977456934,0.000402127,4.28E-07
6.1,0.81110001,0.977746072,0.00040036,4.06E-07
6.11,0.812051844,0.97803197,0.000398598,3.84E-07
6.12,0.813000631,0.978314655,0.000396842,3.62E-07
6.13,0.813946368,0.978594151,0.000395093,3.40E-07
6.14,0.814889055,0.978870484,0.000393349,3.18E-07
6.15,0.81582869,0.979143678,0.000391611,2.96E-07
6.16,0.816765272,0.979413759,0.000389879,2.74E-07
6.17,0.817698801,0.97968075,0.000388152,2.53E-07
6.18,0.818629275,0.979944678,0.000386432,2.31E-07
6.19,0.819556694,0.980205567,0.000384718,2.10E-07
6.2,0.820481057,0.980463441,0.000383009,1.88E-07
6.21,0.821402363,0.980718326,0.000381306,1.67E-07
6.22,0.822320612,0.980970245,0.000379609,1.46E-07
6.23,0.823235803,0.981219224,0.000377918,1.26E-07
6.24,0.824147936,0.981465286,0.000376233,1.05E-07
6.25,0.82505701,0.981708457,0.000374553,8.43E-08
6.26,0.825963025,0.981948759,0.000372879,6.38E-08
6.27,0.82686598,0.982186219,0.000371212,4.35E-08
6.28,0.827765876,0.982420858,0.000369549,2.34E-08
6.29,0.828662713,0.982652703,0.000367893,3.35E-09
6.3,0.829556489,0.982881776,0.000366242,-1.65E-08
6.31,0.830447206,0.983108101,0.000364598,-3.63E-08
6.32,0.831334863,0.983331703,0.000362958,-5.59E-08
6.33,0.83221946,0.983552605,0.000361325,-7.53E-08
6.34,0.833100998,0.983770831,0.000359697,-9.46E-08
6.35,0.833979476,0.983986404,0.000358076,-1.14E-07
6.36,0.834854896,0.984199348,0.000356459,-1.33E-07
6.37,0.835727258,0.984409686,0.000354849,-1.52E-07
6.38,0.836596561,0.984617441,0.000353244,-1.70E-07
6.39,0.837462807,0.984822638,0.000351645,-1.89E-07
6.4,0.838325995,0.985025298,0.000350052,-2.07E-07
6.41,0.839186128,0.985225445,0.000348464,-2.25E-07
6.42,0.840043205,0.985423102,0.000346882,-2.43E-07
6.43,0.840897227,0.985618292,0.000345305,-2.61E-07
6.44,0.841748195,0.985811038,0.000343735,-2.79E-07
6.45,0.84259611,0.986001362,0.00034217,-2.96E-07
6.46,0.843440973,0.986189287,0.00034061,-3.14E-07
6.47,0.844282785,0.986374836,0.000339056,-3.31E-07
6.48,0.845121546,0.98655803,0.000337508,-3.48E-07
6.49,0.845957259,0.986738893,0.000335965,-3.65E-07
6.5,0.846789924,0.986917446,0.000334428,-3.81E-07
6.51,0.847619543,0.987093712,0.000332896,-3.98E-07
6.52,0.848446117,0.987267712,0.00033137,-4.14E-07
6.53,0.849269647,0.987439469,0.00032985,-4.30E-07
6.54,0.850090135,0.987609005,0.000328335,-4.46E-07
6.55,0.850907582,0.987776341,0.000326826,-4.62E-07
6.56,0.85172199,0.987941499,0.000325322,-4.77E-07
6.57,0.852533361,0.988104501,0.000323823,-4.93E-07
6.58,0.853341696,0.988265368,0.000322331,-5.08E-07
6.59,0.854146997,0.988424121,0.000320843,-5.23E-07
6.6,0.854949266,0.988580781,0.000319361,-5.38E-07
6.61,0.855748505,0.988735371,0.000317885,-5.52E-07
6.62,0.856544715,0.98888791,0.000316414,-5.67E-07
6.63,0.857337899,0.989038421,0.000314949,-5.81E-07
6.64,0.858128059,0.989186923,0.000313488,-5.95E-07
6.65,0.858915197,0.989333437,0.000312034,-6.09E-07
6.66,0.859699315,0.989477985,0.000310585,-6.22E-07
6.67,0.860480415,0.989620586,0.000309141,-6.36E-07
6.68,0.8612585,0.989761261,0.000307702,-6.49E-07
6.69,0.862033571,0.989900031,0.000306269,-6.62E-07
6.7,0.862805633,0.990036915,0.000304842,-6.75E-07
6.71,0.863574686,0.990171934,0.000303419,-6.87E-07
